,Country,Code,dead,no dead,frate
0,australia,AUS,141,635.0,0.18170103092783504
1,bahamas,BHS,7,77.0,0.08333333333333333
2,bangladesh,BGD,1,0.0,1.0
3,belize,BLZ,1,1.0,0.5
4,brazil,BRA,38,58.0,0.3958333333333333
5,chile,CHL,3,4.0,0.42857142857142855
6,china,CHN,1,2.0,0.3333333333333333
7,costa rica,CRI,4,2.0,0.6666666666666666
8,croatia,HRV,5,4.0,0.5555555555555556
9,cuba,CUB,2,10.0,0.16666666666666666
10,dominican republic,DOM,4,2.0,0.6666666666666666
11,egypt,EGY,7,17.0,0.2916666666666667
12,el salvador,SLV,2,2.0,0.5
13,fiji,FJI,13,24.0,0.35135135135135137
14,gabon,GAB,1,0.0,1.0
15,greece,GRC,5,4.0,0.5555555555555556
16,grenada,GRD,3,0.0,1.0
17,guatemala,GTM,1,0.0,1.0
18,india,IND,2,4.0,0.3333333333333333
19,indonesia,IDN,3,5.0,0.375
20,iran,IRN,3,9.0,0.25
21,italy,ITA,6,30.0,0.16666666666666666
22,jamaica,JAM,4,6.0,0.4
23,japan,JPN,12,17.0,0.41379310344827586
24,kenya,KEN,4,3.0,0.5714285714285714
25,liberia,LBR,1,0.0,1.0
26,madagascar,MDG,1,3.0,0.25
27,malaysia,MYS,1,3.0,0.25
28,malta,MLT,1,2.0,0.3333333333333333
29,marshall islands,MHL,1,9.0,0.1
30,mauritius,MUS,1,5.0,0.16666666666666666
31,mexico,MEX,27,31.0,0.46551724137931033
32,montenegro,MNE,1,0.0,1.0
33,mozambique,MOZ,15,21.0,0.4166666666666667
34,new zealand,NZL,9,66.0,0.12
35,nicaragua,NIC,1,0.0,1.0
36,panama,PAN,7,7.0,0.5
37,papua new guinea,PNG,33,54.0,0.3793103448275862
38,philippines,PHL,24,11.0,0.6857142857142857
39,portugal,PRT,2,1.0,0.6666666666666666
40,senegal,SEN,3,6.0,0.3333333333333333
41,seychelles,SYC,3,2.0,0.6
42,sierra leone,SLE,3,0.0,1.0
43,singapore,SGP,1,1.0,0.5
44,solomon islands,SLB,8,10.0,0.4444444444444444
45,somalia,SOM,4,1.0,0.8
46,south africa,ZAF,90,384.0,0.189873417721519
47,south korea,KOR,5,2.0,0.7142857142857143
48,tanzania,TZA,6,2.0,0.75
49,thailand,THA,3,2.0,0.6
50,tonga,TON,1,8.0,0.1111111111111111
51,turkey,TUR,1,3.0,0.25
52,united kingdom,GBR,2,7.0,0.2222222222222222
53,united states,USA,133,1618.0,0.0759565962307253
54,vanuatu,VUT,3,3.0,0.5
55,venezuela,VEN,2,6.0,0.25
56,yemen,YEM,2,0.0,1.0
