Activity,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,All
Boat,0.0,0.0,0.06,0.11,0.06,0.06,0.11,0.4,0.06,0.11,0.06,0.28,0.23,0.0,0.28,0.23,0.11,0.11,0.11,0.23,0.0,0.0,0.06,0.0,2.66
Diving,0.06,0.17,0.4,0.51,0.34,0.96,1.02,0.73,0.17,0.9,0.28,0.51,0.45,0.11,0.45,0.57,0.11,0.45,0.11,0.34,0.0,0.06,0.0,0.0,8.71
Fishing,0.0,0.11,0.9,0.96,1.24,1.24,1.47,1.02,0.4,1.07,0.4,1.02,0.73,0.62,0.51,0.62,0.06,0.34,0.06,0.4,0.0,0.0,0.11,0.06,13.34
Fishing sharks,0.0,0.0,0.06,0.23,0.11,0.11,0.28,0.11,0.11,0.11,0.06,0.06,0.11,0.06,0.28,0.17,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.98
Militar incident,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
Sea Disaster,0.0,0.0,0.0,0.17,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.17,0.06,0.0,0.0,0.17,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.85
Shark investigating,0.0,0.0,0.06,0.0,0.11,0.11,0.06,0.06,0.06,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.73
Sitting,0.0,0.06,0.06,0.0,0.11,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
Snorkeling,0.0,0.11,0.23,0.0,0.17,0.23,0.4,0.17,0.06,0.34,0.06,0.06,0.11,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,2.09
Spearfishing,0.0,0.11,0.4,0.79,1.75,2.2,1.19,1.24,0.51,1.41,0.17,0.51,0.34,0.23,0.34,0.57,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,11.93
Surfing,0.0,0.85,1.24,5.31,2.83,3.96,3.11,2.83,1.3,3.05,1.02,2.15,1.64,0.68,1.36,1.07,0.0,0.62,0.4,0.57,0.0,0.06,0.06,0.0,34.09
Swimming,0.06,0.45,0.68,2.26,1.75,2.37,1.58,1.7,0.79,1.47,0.4,0.85,0.68,0.57,0.23,0.45,0.06,0.06,0.0,0.23,0.11,0.17,0.0,0.06,16.96
Touching a shark,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
Walking,0.0,0.62,0.73,1.64,0.28,1.07,0.28,0.23,0.17,0.23,0.0,0.17,0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6
All,0.11,2.6,4.92,11.98,8.82,12.49,9.61,8.65,3.62,8.82,2.49,5.82,4.47,2.54,3.5,3.9,0.4,1.75,0.68,2.09,0.11,0.28,0.23,0.11,100.0
