,Country,Code,frate
0,australia,AUS,0.18170103092783504
1,bahamas,BHS,0.08333333333333333
2,bangladesh,BGD,1.0
3,belize,BLZ,0.5
4,brazil,BRA,0.3958333333333333
5,chile,CHL,0.42857142857142855
6,china,CHN,0.3333333333333333
7,costa rica,CRI,0.6666666666666666
8,croatia,HRV,0.5555555555555556
9,cuba,CUB,0.16666666666666666
10,dominican republic,DOM,0.6666666666666666
11,egypt,EGY,0.2916666666666667
12,el salvador,SLV,0.5
13,fiji,FJI,0.35135135135135137
14,gabon,GAB,1.0
15,greece,GRC,0.5555555555555556
16,grenada,GRD,1.0
17,guatemala,GTM,1.0
18,india,IND,0.3333333333333333
19,indonesia,IDN,0.375
20,iran,IRN,0.25
21,italy,ITA,0.16666666666666666
22,jamaica,JAM,0.4
23,japan,JPN,0.41379310344827586
24,kenya,KEN,0.5714285714285714
25,liberia,LBR,1.0
26,madagascar,MDG,0.25
27,malaysia,MYS,0.25
28,malta,MLT,0.3333333333333333
29,marshall islands,MHL,0.1
30,mauritius,MUS,0.16666666666666666
31,mexico,MEX,0.46551724137931033
32,montenegro,MNE,1.0
33,mozambique,MOZ,0.4166666666666667
34,new zealand,NZL,0.12
35,nicaragua,NIC,1.0
36,panama,PAN,0.5
37,papua new guinea,PNG,0.3793103448275862
38,philippines,PHL,0.6857142857142857
39,portugal,PRT,0.6666666666666666
40,senegal,SEN,0.3333333333333333
41,seychelles,SYC,0.6
42,sierra leone,SLE,1.0
43,singapore,SGP,0.5
44,solomon islands,SLB,0.4444444444444444
45,somalia,SOM,0.8
46,south africa,ZAF,0.189873417721519
47,south korea,KOR,0.7142857142857143
48,tanzania,TZA,0.75
49,thailand,THA,0.6
50,tonga,TON,0.1111111111111111
51,turkey,TUR,0.25
52,united kingdom,GBR,0.2222222222222222
53,united states,USA,0.0759565962307253
54,vanuatu,VUT,0.5
55,venezuela,VEN,0.25
56,yemen,YEM,1.0
